0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
5,7,16,42,46,31,47,41,51,53,57,52,44,38,51
5,5,15,31,52,47,46,44,43,47,54,52,37,35,49
5,4,9,24,37,34,36,30,45,39,41,39,46,41,42
5,2,7,12,22,32,31,26,24,22,25,33,26,35,38
5,2,3,3,13,8,8,13,22,15,26,27,52,44,49
5,2,6,28,35,45,45,70,70,63,72,50,50,46,59
5,2,27,46,52,54,55,47,54,41,44,45,41,33,53
5,9,12,19,59,61,65,65,45,56,46,51,45,47,33
5,2,3,15,25,36,47,43,65,31,27,30,47,43,30
5,12,35,48,42,43,40,50,40,38,49,35,44,40,40
5,3,5,16,38,33,42,56,44,39,54,47,39,18,18
5,2,3,3,8,8,15,25,29,35,58,49,50,56,50
